"idhod","hodnota","stapro_kod","mj_cis","mj_kod","typosoby_kod","odvetvi_cis","odvetvi_kod","rok","ctvrtleti","uzemi_cis","uzemi_kod","stapro_txt","mj_txt","typosoby_txt","odvetvi_txt"
"741373730","53.3","316","78","80403","100","5103","R","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Kulturní, zábavní a rekreační činnosti"
"741373840","49.7","316","78","80403","100","5103","S","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ostatní činnosti"
"741372190","29.7","316","78","80403","100","5103","D","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741373290","151.6","316","78","80403","100","5103","N","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Administrativní a podpůrné činnosti"
"741373510","283.6","316","78","80403","100","5103","P","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Vzdělávání"
"741372300","51.4","316","78","80403","100","5103","E","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zásobování vodou; činnosti související s odpady a sanacemi"
"741372410","264.3","316","78","80403","100","5103","F","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Stavebnictví"
"741380394","50.5","316","78","80403","200","5103","E","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zásobování vodou; činnosti související s odpady a sanacemi"
"741381384","145.1","316","78","80403","200","5103","N","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Administrativní a podpůrné činnosti"
"741372520","506.5","316","78","80403","100","5103","G","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381604","260.2","316","78","80403","200","5103","P","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Vzdělávání"
"741381824","49.9","316","78","80403","200","5103","R","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
"741379954","105.2","316","78","80403","200","5103","A","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zemědělství, lesnictví, rybářství"
"786863416","3801.8","316","78","80403","200",,,"2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený",
"786863428","3925","316","78","80403","100",,,"2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický",
"741373611","270.8","316","78","80403","100","5103","Q","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741380495","257","316","78","80403","200","5103","F","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741372621","266.9","316","78","80403","100","5103","H","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
"741381705","254.2","316","78","80403","200","5103","Q","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zdravotní a sociální péče"
"741372731","127.8","316","78","80403","100","5103","I","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ubytování, stravování a pohostinství"
"741380825","121.8","316","78","80403","200","5103","I","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741371851","110.1","316","78","80403","100","5103","A","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zemědělství, lesnictví, rybářství"
"741380605","493.5","316","78","80403","200","5103","G","2009","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
